znf_name	data_no	data_source	peak_number	repeat_number	motif_all_img_path
ZNF479	GSM2466568	GSE78099	23632	737	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF479/raw/logo1.png
ZFP69	GSM2466453	GSE78099	1157	22	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZFP69/raw/logo1.png
ZNF334	GSM2466534	GSE78099	227	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF334/raw/logo1.png
ZNF320	GSM2466529	GSE78099	1896	13	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF320/raw/logo1.png
ZNF28	GSM2466521	GSE78099	11934	104	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF28/raw/logo1.png
ZNF197	GSM2466491	GSE78099	572	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF197/raw/logo1.png
ZNF483	GSM2466570	GSE78099	620	5	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF483/raw/logo1.png
ZNF534	GSM2466584	GSE78099	27123	114	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF534/raw/logo1.png
ZNF114	GSM2466472	GSE78099	72	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF114/raw/logo1.png
ZNF860	GSM2466679	GSE78099	522	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF860/raw/logo1.png
ZNF324B	GSM2466530	GSE78099	50	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF324B/raw/logo1.png
ZNF782	GSM2466658	GSE78099	140	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF782/raw/logo1.png
ZNF485	GSM2466572	GSE78099	7237	26	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF485/raw/logo1.png
ZNF442	GSM2466560	GSE78099	63	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF442/raw/logo1.png
ZNF93	GSM2466685	GSE78099	3657	7	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF93/raw/logo1.png
ZNF567	GSM2466601	GSE78099	1141	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF567/raw/logo1.png
ZNF571	GSM2466603	GSE78099	661	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF571/raw/logo1.png
ZNF343	GSM2466539	GSE78099	5120	11	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF343/raw/logo1.png
ZNF570	GSM2466602	GSE78099	294	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF570/raw/logo1.png
ZNF282	GSM2466515	GSE78099	8081	8	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF282/raw/logo1.png
ZNF764	GSM2466650	GSE78099	57	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF764/raw/logo1.png
ZNF337	GSM2466535	GSE78099	1502	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF337/raw/logo1.png
ZNF8	GSM2466683	GSE78099	134	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF8/raw/logo1.png
ZNF285	GSM2466519	GSE78099	204	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF285/raw/logo1.png
ZNF778	GSM2466655	GSE78099	1942	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF778/raw/logo1.png
ZNF181	GSM2466486	GSE78099	68	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF181/raw/logo1.png
ZNF182	GSM2466487	GSE78099	8441	10	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF182/raw/logo1.png
ZNF605	GSM2466609	GSE78099	1987	3	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF605/raw/logo1.png
ZNF223	GSM2466500	GSE78099	246	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF223/raw/logo1.png
ZNF627	GSM2466620	GSE78099	1219	1	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF627/raw/logo1.png
ZNF382	GSM2466542	GSE78099	9282	10	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF382/raw/logo1.png
ZNF431	GSM2466554	GSE78099	289	2	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF431/raw/logo1.png
ZNF680	GSM2466629	GSE78099	17733	28	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF680/raw/logo1.png
ZNF780A	GSM2466657	GSE78099	1537	5	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF780A/raw/logo1.png
ZNF776	GSM2466653	GSE78099	547	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF776/raw/logo1.png
ZNF439	GSM2466557	GSE78099	40	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF439/raw/logo1.png
ZNF552	GSM2466592	GSE78099	39	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF552/raw/logo1.png
ZNF18	GSM2466490	GSE78099	413	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF18/raw/logo1.png
ZNF484	GSM2466571	GSE78099	306	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF484/raw/logo1.png
ZNF667	GSM2466624	GSE78099	50	0	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF667/raw/logo1.png
ZNF202	GSM2466493	GSE78099	14983	4	/home/luozhihui/PycharmProjects/ZNFdatabase/data/GSE78099_out/GSE78099_ZNF202/raw/logo1.png
